transition,state,calc_set,Ex_th,BGT_th,Ex_exp,BGT_exp,Tz,proton_rich,log10_ratio,discrepant
9Be->9B,1,1,1.791,1.09452,0.0,0.66,-0.5,0,0.2196797662325976,0
9Be->9B,1,2,0.0,1.03528,0.0,0.66,-0.5,0,0.1955138886561477,0
9Be->9B,1,3,2.942,0.30981,0.0,0.66,-0.5,0,-0.3284485038012902,0
9Be->9B,1,4,1.872,1.13184,0.0,0.66,-0.5,0,0.2342411025927888,0
9Be->9B,1,5,0.0,1.10867,0.0,0.66,-0.5,0,0.2252583603761155,0
9Be->9B,1,6,2.773,0.25499,0.0,0.66,-0.5,0,-0.4130207865980195,0
9Be->9B,2,1,11.027,0.04049,2.358,0.241,-0.5,0,-0.774669265806455,1
9Be->9B,2,2,4.665,0.5167,2.358,0.241,-0.5,0,0.3312214189707934,0
9Be->9B,2,3,7.381,0.00485,2.358,0.241,-0.5,0,-1.6962753039726046,1
9Be->9B,2,4,10.838,0.03626,2.358,0.241,-0.5,0,-0.8225892428153785,1
9Be->9B,2,5,4.211,0.41196,2.358,0.241,-0.5,0,0.2328380068985065,0
9Be->9B,2,6,6.937,0.00505,2.358,0.241,-0.5,0,-1.678725664456207,1
9Be->9B,3,1,12.036,0.0183,2.73,0.718,-0.5,0,-1.5936733545118709,1
9Be->9B,3,2,10.039,0.0842,2.73,0.718,-0.5,0,-0.9308123527426508,1
9Be->9B,3,3,10.874,0.00036,2.73,0.718,-0.5,0,-3.299821943475013,1
9Be->9B,3,4,11.59,0.01376,2.73,0.718,-0.5,0,-1.717506010342808,1
9Be->9B,3,5,9.644,0.11715,2.73,0.718,-0.5,0,-0.7873821513093188,1
9Be->9B,3,6,10.866,0.00152,2.73,0.718,-0.5,0,-2.674280856297528,1
9Be->9B,4,1,16.703,0.00122,3.93,0.36,-0.5,0,-2.469942670092539,1
9Be->9B,4,2,12.667,0.00044,3.93,0.36,-0.5,0,-2.9128498242811,1
9Be->9B,4,3,12.517,0.03677,3.93,0.36,-0.5,0,-0.9908088708984248,1
9Be->9B,4,4,16.264,0.00057,3.93,0.36,-0.5,0,-2.800427645094796,1
9Be->9B,4,5,13.001,0.00024,3.93,0.36,-0.5,0,-3.1760912590556813,1
9Be->9B,4,6,12.558,0.03461,3.93,0.36,-0.5,0,-1.0171009014731596,1
